"","kinds","efficiency","frequency","time","totaltime"
"356","diancilu",850,90,0.875,78.75
"357","diancilu",NA,30,0.25,7.5
"358","diancilu",1500,90,0.625,56.25
"359","diancilu",1500,90,0.375,33.75
"360","diancilu",1500,90,0.375,33.75
"361","diancilu",1500,60,0.625,37.5
"362","diancilu",NA,90,0.375,33.75
"363","dianfanguo",850,60,0.625,37.5
"364","diancilu",850,90,0.625,56.25
"365","diancilu",1500,90,0.625,56.25
"366","diancilu",1500,30,0.625,18.75
"367","diancilu",1500,90,0.875,78.75
"368","diancilu",1500,90,1.5,135
"369","dianfanguo",300,90,0.375,33.75
"370","dianfanguo",400,60,0.375,22.5
"371","diancilu",1250,90,0.875,78.75
"372","diancilu",1250,90,0.625,56.25
"373","diancilu",1500,90,0.375,33.75
"374","diancilu",1250,90,1.5,135
"375","dianfanguo",300,90,0.625,56.25
"376","diancilu",1500,60,0.375,22.5
"377","diancilu",1500,60,0.375,22.5
"378","diancilu",1500,90,0.625,56.25
"379","diancilu",1500,90,0.625,56.25
"380","diancilu",1500,90,0.375,33.75
"381","dianfanguo",600,60,0.625,37.5
"382","diancilu",NA,NA,0.375,NA
"383","diancilu",1500,90,0.375,33.75
"384","diancilu",1500,90,0.625,56.25
"385","diancilu",1500,60,0.625,37.5
"386","dianfanguo",850,90,0.375,33.75
"387","dianfanguo",850,60,0.625,37.5
"388","diancilu",1500,90,0.625,56.25
"389","diancilu",400,90,0.875,78.75
"390","diancilu",NA,NA,0.875,NA
"391","diancilu",1250,90,0.375,33.75
"392","diancilu",1500,90,0.375,33.75
"393","diancilu",1500,90,0.625,56.25
"394","dianfanguo",850,90,0.375,33.75
"395","diancilu",1500,90,0.375,33.75
"396","diancilu",400,60,0.625,37.5
"397","diancilu",1500,30,0.625,18.75
"398","diancilu",1500,90,0.375,33.75
"399","dianshuihu",1500,60,0.375,22.5
"400","dianshuihu",1500,90,0.25,22.5
"401","dianfanguo",NA,90,0.625,56.25
"402","dianfanguo",NA,90,0.625,56.25
"403","dianfanguo",1250,90,0.625,56.25
"404","dianfanguo",600,60,0.375,22.5
"405","diancilu",1250,90,0.875,78.75
"406","dianfanguo",NA,60,0.625,37.5
"407","dianfanguo",850,90,0.375,33.75
"408","dianfanguo",850,60,0.625,37.5
"409","diancilu",400,90,1.5,135
"410","diancilu",1500,60,0.375,22.5
"411","diancilu",1500,90,0.625,56.25
"412","dianfanguo",NA,60,0.625,37.5
"413","dianfanguo",850,60,0.875,52.5
"414","dianfanguo",600,60,0.375,22.5
"415","diancilu",600,90,0.875,78.75
"416","diancilu",1250,90,0.375,33.75
"417","diancilu",1250,90,0.875,78.75
"418","dianfanguo",1250,60,0.875,52.5
"419","diancilu",1500,90,0.625,56.25
"420","diancilu",1250,60,0.375,22.5
"421","dianfanguo",850,90,0.625,56.25
"422","dianfanguo",850,30,0.625,18.75
"423","dianfanguo",1250,90,0.875,78.75
"424","diancilu",1500,90,0.625,56.25
"425","diancilu",1500,90,0.625,56.25
"426","diancilu",300,90,0.875,78.75
"427","diancilu",1500,12,0.875,10.5
"428","dianfanguo",NA,60,0.625,37.5
"429","diancilu",1500,60,0.875,52.5
"430","dianfanguo",850,90,0.625,56.25
"431","diancilu",1250,90,0.625,56.25
"432","diancilu",1500,90,0.875,78.75
"433","diancilu",1500,90,1.5,135
"434","diancilu",1500,90,0.625,56.25
"435","diancilu",1500,90,0.875,78.75
"436","diancilu",1250,90,0.625,56.25
"437","diancilu",600,90,0.625,56.25
"438","diancilu",1500,90,0.625,56.25
"439","diancilu",1250,90,0.375,33.75
"440","diancilu",850,90,0.625,56.25
"441","diancilu",600,90,0.875,78.75
"442","dianshuihu",1500,30,0.25,7.5
"443","diancilu",1250,90,0.625,56.25
"444","gaoyaguo",600,30,0.625,18.75
