"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"153",1,623,"tianranqi",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",1,626,"tianranqi",NA,20,0.375,"dianfanguo",NA,20,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"155",1,559,"tianranqi",NA,60,1.5,"dianfanguo",600,30,0.625,"weibolu",850,8,0.25,NA,NA,NA,NA
"156",1,526,"tianranqi",NA,90,0.875,"tianranqi",NA,90,0.875,"dianfanguo",600,90,0.625,"gaoyaguo",600,12,0.625
"157",1,567,"tianranqi",NA,60,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",1,591,"tianranqi",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",1,630,"tianranqi",NA,60,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",1,518,"tianranqi",NA,30,1.5,"dianfanguo",850,30,1.5,"weibolu",850,90,0.375,NA,NA,NA,NA
"161",1,526,"dianfanguo",NA,60,0.625,"yehuaqi",NA,60,0.875,"weibolu",NA,20,0.25,"dianshuihu",600,90,0.25
"162",1,643,"tianranqi",NA,90,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",1,526,"tianranqi",NA,90,0.375,"dianfanguo",600,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"164",1,548,"tianranqi",NA,20,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",1,526,"tianranqi",NA,90,0.375,"dianfanguo",NA,NA,0.375,"weibolu",NA,30,0.25,NA,NA,NA,NA
"166",1,526,"tianranqi",NA,90,0.625,"tianranqi",NA,90,0.625,"tianranqi",NA,90,0.625,"tianranqi",NA,90,0.625
"167",15,526,"tianranqi",NA,60,0.375,"weibolu",1250,90,0.25,"dianshuihu",1250,90,0.25,"dianfanguo",850,30,0.375
"168",15,507,"dianfanguo",300,60,0.375,"weibolu",300,12,0.25,"tianranqi",NA,60,0.25,NA,NA,NA,NA
"169",15,575,"dianfanguo",850,60,0.625,"meiqi",NA,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"170",15,576,"tianranqi",NA,90,0.375,"dianfanguo",300,60,0.375,"diancilu",1250,12,0.625,"weibolu",1500,12,0.375
"171",15,511,"yehuaqi",NA,60,0.625,"yehuaqi",NA,60,0.625,"dianfanguo",850,60,0.625,"weibolu",850,30,0.25
"172",15,591,"tianranqi",NA,90,0.625,"dianfanguo",600,60,0.625,"diancilu",850,20,0.375,NA,NA,NA,NA
"173",15,526,"yehuaqi",NA,30,0.375,"diancilu",NA,12,0.375,"dianfanguo",NA,12,0.375,NA,NA,NA,NA
"174",15,562,"meiqi",NA,90,0.875,"dianfanguo",850,60,0.625,"weibolu",1250,12,0.25,NA,NA,NA,NA
"175",15,548,"tianranqi",NA,90,0.375,"tianranqi",NA,90,0.375,"dianfanguo",850,90,0.375,NA,NA,NA,NA
"176",15,575,"xinchai",NA,60,0.375,"yehuaqi",NA,60,0.375,"dianfanguo",NA,8,0.375,NA,NA,NA,NA
"177",15,501,"gaoyaguo",NA,30,0.625,"tianranqi",NA,90,0.375,"dianshuihu",NA,90,0.25,"diancilu",NA,60,0.375
"178",15,501,"dianfanguo",300,20,0.375,"diancilu",300,20,0.375,"dianshuihu",300,30,0.25,NA,NA,NA,NA
"179",15,576,"yehuaqi",NA,60,0.375,"dianfanguo",850,90,0.375,"dianshuihu",1250,90,0.25,"weibolu",850,12,0.25
"180",15,500,"xinchai",NA,90,0.25,"jiegan",NA,60,0.25,"yehuaqi",NA,20,0.375,"xinchai",NA,12,0.375
"181",15,547,"yehuaqi",NA,90,0.25,"dianfanguo",NA,30,0.375,"dianshuihu",850,60,0.25,NA,NA,NA,NA
"182",15,625,"yehuaqi",NA,60,0.375,"dianfanguo",NA,30,0.375,"dianfanguo",400,12,0.25,NA,NA,NA,NA
"183",15,641,"xinchai",NA,20,0.375,"dianfanguo",600,60,0.625,"yehuaqi",NA,90,0.375,"diancilu",600,20,0.625
"184",15,609,"xinchai",NA,90,0.375,"dianfanguo",600,8,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"185",19,534,"yehuaqi",NA,30,0.375,"dianfanguo",400,30,0.375,"dianshuihu",NA,60,0.25,"gaoyaguo",NA,8,0.375
"186",19,643,"tianranqi",NA,90,0.375,"dianfanguo",400,60,0.375,"weibolu",1250,30,0.25,NA,NA,NA,NA
"187",19,548,"tianranqi",NA,20,3,"gaoyaguo",600,12,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"188",19,548,"tianranqi",NA,30,0.375,"dianfanguo",400,60,0.375,"weibolu",1500,12,0.25,"gaoyaguo",NA,12,0.375
"189",19,548,"tianranqi",NA,30,0.875,"dianfanguo",600,30,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"190",19,542,"tianranqi",NA,90,0.375,"diancilu",NA,8,0.625,"dianfanguo",300,90,0.375,NA,NA,NA,NA
"191",19,526,"yehuaqi",NA,4,0.375,NA,400,60,0.25,NA,400,30,0.375,NA,400,90,3
"192",19,548,"meiqi",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",19,526,"tianranqi",NA,30,0.25,"dianfanguo",300,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"194",19,501,"tianranqi",NA,0,0.25,"diancilu",1500,0,0.25,"weibolu",1500,90,0.25,NA,NA,NA,NA
"195",19,548,"yehuaqi",NA,60,0.375,"dianfanguo",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"196",19,548,"tianranqi",NA,90,0.625,"dianfanguo",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"197",19,576,"tianranqi",NA,90,0.875,"dianfanguo",850,60,1.5,"gaoyaguo",NA,12,1.5,"weibolu",NA,0,0.25
"198",19,603,"diancilu",1500,12,0.875,"tianranqi",NA,20,1.5,"dianfanguo",850,20,0.375,"gaoyaguo",NA,4,0.875
"199",19,575,"yehuaqi",NA,90,0.25,"dianfanguo",600,60,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"200",19,548,"yehuaqi",NA,60,0.375,"dianfanguo",NA,60,0.375,"yehuaqi",NA,4,0.375,"dianfanguo",NA,60,0.375
"201",19,547,"xinchai",NA,12,0.875,"yehuaqi",NA,90,0.625,"dianfanguo",NA,90,0.375,"gaoyaguo",600,12,0.625
"202",19,602,"yehuaqi",NA,60,0.25,"dianfanguo",300,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"203",19,591,"xinchai",NA,8,1.5,"yehuaqi",NA,60,0.375,"dianfanguo",NA,60,0.625,NA,NA,NA,NA
"204",9,526,"diancilu",600,90,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",9,642,"dianfanguo",300,90,1.5,"diancilu",850,90,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"206",9,575,"jiegan",NA,90,0.875,"yehuaqi",NA,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA
