"","kinds","efficiency","frequency","time"
"6246","diancilu","400","90","0.875"
"6270","diancilu","1500","60","0.625"
"6277","diancilu","1250","90","0.625"
"6278","diancilu","1500","60","0.375"
"6287","gaoyaguo","600","12","0.625"
"6300","diancilu","1500","90","0.375"
"6303","diancilu","850","90","0.875"
"6304","diancilu","1500","90","0.625"
"6326","diancilu","400","90","0.375"
"6379","diancilu","1250","60","0.625"
"6398","diancilu","1250","90","0.375"
"6405","dianfanguo","1250","60","1.5"
"6408","diancilu","600","90","0.375"
"6411","diancilu","1250","90","0.625"
"6419","diancilu","400","90","0.875"
"6421","diancilu","600","90","0.375"
"6435","diancilu","1500","90","0.625"
"6450","diancilu","600","90","0.625"
"6459","diancilu","1500","90","0.875"
"6461","dianfanguo","850","60","0.375"
"6464","diancilu","1250","90","0.375"
"6466","diancilu","1250","60","0.625"
"6471","diancilu","400","90","0.375"
"6473","diancilu","600","90","0.625"
"6499","diancilu","1500","90","0.875"
"6505","diancilu","1250","90","0.625"
"6529","diancilu","1500","60","0.375"
"6530","diancilu","1500","90","0.25"
"6538","diancilu","400","90","0.625"
"6543","dianfanguo","850","60","0.375"
"6555","diancilu","1250","90","0.375"
"6569","dianfanguo","1250","90","0.625"
"6570","diancilu","1250","90","0.375"
"6579","diancilu","400","90","0.375"
"6580","diancilu","1500","90","0.625"
"6622","diancilu","600","90","0.375"
"6634","diancilu","600","90","0.375"
"6640","diancilu","1500","90","0.625"
"6663","diancilu",NA,"60","0.625"
"6683","diancilu","1500","90","0.375"
"6694","diancilu","1500","90","0.875"
"6746","diancilu","1250","90","0.375"
"6763","dianfanguo","850","30","0.625"
"6802","diancilu","1500","90","0.375"
"6819","dianshuihu","600","90","0.25"
"6844","dianshuihu",NA,"30","0.375"
"6845","dianfanguo","850","90","0.375"
"6848","dianshuihu","1250","20","0.25"
"6859","diancilu","400","60","0.625"
"6863","dianfanguo","1250","30","0.875"
"6871","dianfanguo","600","90","0.375"
"6875","dianfanguo","600","60","0.375"
"6882","dianfanguo","850","60","1.5"
"6897","dianfanguo","400","60","0.625"
"6920","dianfanguo","600","60","0.875"
"6929","dianfanguo","850","30","0.625"
"6932","dianfanguo","600","90","0.375"
"6941","dianfanguo","850","60","0.375"
"6975","diancilu",NA,"12","0.625"
"6980","dianfanguo","1500","90","0.875"
"6983","diancilu","1250","60","0.375"
"6988","dianfanguo","600","90","0.625"
"6995","diancilu","1500","90","0.375"
"7009","dianfanguo","300","60","0.625"
"7066","dianfanguo","850","90","0.375"
"7076","dianfanguo",NA,"12","0.625"
"7097","dianfanguo","600","60","1.5"
"7148","dianfanguo","850","60","0.25"
"7170","dianfanguo","850","60","0.625"
"7177","dianfanguo","1250","90","0.375"
"7189","diancilu","1500","30","0.625"
"7246","dianfanguo","600","90","0.625"
"7254","diancilu","300","60","0.625"
"7297","dianfanguo","1500","30","0.375"
"7360","diancilu","1500","4","0.25"
"7371","dianfanguo","850","60","0.375"
"7377","diancilu","1250","90","0.375"
"7403","diancilu",NA,"90","0.375"
